# ROSTER HISTÓRICO DE JEFES DE BLOQUE — curación manual (pedido de Valle, nota 2026-07-12)
# ALCANCE (acordado con Franco 2026-07-30): BLOQUES GRANDES 2005-2025. El período
#   vigente NO se cura acá: lo trae `jefes_bloque_oficial.csv` (scraper de la web
#   oficial, que marca "Presidente" por bloque). Los MONOBLOQUES históricos quedan
#   fuera a propósito: el jefe es el único integrante → señal nula.
# Consumido por origen_lider.py (señal lider_jefe_bloque), que UNE ambos CSV.
# confianza: ALTA (fuente explícita) | MEDIA (inferido) | REVISAR (validar Franco)
# hasta vacío = en el cargo al momento de la curación.
# COLUMNA `legislador_id` (agregada 2026-09-04, URGENTE 10 / ADR-0017)
#   El cruce por NOMBRE resolvia 50 de 80 jefes, y beta_2 quedaba atenuado por
#   error de medicion: con 21/80 daba +0,039 (p=0,88); con 50/80, +0,645
#   (p=0,0002). No cambio el efecto: bajo el ruido. Por eso el id va EXPLICITO y
#   deja de depender del matcheo laxo APELLIDO|PRIMER-NOMBRE.
#   Los ids salen de `datos/canonica` (votos_resuelto + actas_canonico), cruzando
#   apellido + nombres + camara + ventana de mandato.
#   Quedan 4 filas VACIAS A PROPOSITO. No es que no se encontro a la persona: es
#   que la canonica tiene DOS legislador_id para ella (duplicado de entity
#   resolution) y elegir uno le sacaria la mitad de las firmas al otro:
#     ROSSI, AGUSTIN       leg:3cc84340cad1 ("Rossi, Agustin Oscar", 2005-2026)
#                          leg:3a122de91183 ("ROSSI Agustin", 2011-2019)
#     STOLBIZER, MARGARITA leg:b067aa2a9852 ("Margarita Rosa", 2001-2017)
#                          leg:9c9abb302e88 ("Stolbizer, Margarita", 2001-2025)
#     ROYON, FLAVIA        leg:97bbbf7cc358 ("Royon, Flavia", n=112)
#                          leg:c4eabf6d9ca4 ("ROYON, FLAVIA GABRIELA", n=7)
#   Se completan cuando se resuelvan esos duplicados en datos/canonica (van a
#   URGENTE). Preferimos perder cobertura antes que asignarle la firma a un id
#   incompleto.
# ACTUALIZADO 2026-09-04 (URGENTE C): las filas que estaban vacias por tener DOS
# legislador_id para la misma persona ya se pueden completar. Franco aprobo 114 de
# los 153 pares del censo; el canonico es el de MAS votos. La tabla vive en
# `datos/canonica/data/alias_legislador_id.csv` y NO reescribe la canonica: se aplica
# solo a los cruces por id (`estimar_beta_dictamen` normaliza los dos lados).
nombre,camara,bloque,desde,hasta,periodo,confianza,fuente,nota,legislador_id
"NEGRI, MARIO",diputados,UCR,2015-12-10,2021-12-09,2015-2021,ALTA,"La Nación 06-12-2021; Télam 2019","jefe de la UCR y del interbloque Cambiemos/JxC",leg:ebf52dbd99eb
"RITONDO, CRISTIAN",diputados,PRO,2019-12-10,,2019-,ALTA,"Infobae 05-01-2022 + web oficial HCDN","jefe del bloque PRO; desde 2022 también del interbloque JxC",leg:783bd10f67b0
"NEGRI, MARIO",diputados,UCR,2021-12-10,2023-12-09,2021-2023,ALTA,"La Nación 06-12-2021","ratificado por los radicales orgánicos",leg:ebf52dbd99eb
"DE LOREDO, RODRIGO",diputados,UCR,2023-12-10,2025-12-09,2023-2025,ALTA,"prensa 2024-2025","jefe UCR del período previo al actual",leg:8765d17d2db0
# ---------- COALICIÓN CÍVICA
"FERRARO, MAXIMILIANO",diputados,COALICION CIVICA,2019-12-10,,2019-,MEDIA,"Infobae 28-11-2019 + web oficial HCDN","jefe histórico del bloque CC-ARI",leg:1bfdc8cc9376
# ---------- FRENTE RENOVADOR / MASSISMO
"CAMAÑO, GRACIELA",diputados,FRENTE RENOVADOR,2015-12-10,2019-12-09,2015-2019,ALTA,Wikipedia ES (presidenta del bloque Federal-UNA desde 2015; tras la salida de Massa en 2017 queda al frente del bloque y del interbloque FR-UNA); Chequeado 08-03-2018 (conduce 17 diputados),jefatura del bloque massista confirmada por dos fuentes independientes,leg:2d8bae3dda77
# ---------- LA LIBERTAD AVANZA
"ZAGO, OSCAR",diputados,LA LIBERTAD AVANZA,2023-12-10,2024-05-01,2023-2024,ALTA,"prensa 2023-2024","primer jefe del bloque LLA; desplazado en mayo 2024",leg:e2b4b98325f5
"BORNORONI, GABRIEL",diputados,LA LIBERTAD AVANZA,2024-05-01,,2024-,ALTA,"prensa 2024-2025 + web oficial HCDN","sucede a Zago; continúa en 2026",leg:10ffeee1d07e
# ================= SENADO =================
# ---------- PERONISMO (FpV -> FdT -> UxP): el bloque mayor del Senado
"PICHETTO, MIGUEL ANGEL",senado,FRENTE PARA LA VICTORIA - PJ,2002-12-30,2017-12-09,2002-2017,ALTA,"Ámbito; La Capital; Wikipedia ERF","15 años al frente del bloque peronista; en dic-2017 encabeza la salida de 25 senadores",leg:5daaefa4774c
"PICHETTO, MIGUEL ANGEL",senado,ARGENTINA FEDERAL,2017-12-10,2019-12-09,2017-2019,ALTA,"Wikipedia Encuentro Republicano Federal","preside el interbloque peronista NO kirchnerista tras la ruptura",leg:5daaefa4774c
"MAYANS, JOSE MIGUEL ANGEL",senado,FRENTE DE TODOS,2019-12-10,2023-12-09,2019-2023,ALTA,"La Nación 23-08-2019; Perfil; Diario de Cuyo 26-11-2019","impulsado por CFK; bloque unificado con quórum propio",leg:e6cf1ab5182b
"MAYANS, JOSE MIGUEL ANGEL",senado,UNION POR LA PATRIA,2023-12-10,,2023-,ALTA,"La Nación 16-06-2025 + web oficial Senado","continúa; en 2026 el bloque figura como JUSTICIALISTA (21 bancas)",leg:e6cf1ab5182b
# ---------- UCR
"PETCOFF NAIDENOFF, LUIS CARLOS",senado,UCR,2011-12-10,2021-12-09,2011-2021,ALTA,"La Nación (elección 2011); Filo News 2018","jefe del bloque radical una década; también del interbloque Cambiemos/JxC",leg:61caaf7f3421
# ELIMINADA el 2026-09-04 (URGENTE 5): LOSADA, CAROLINA / UCR / senado / 2021-12-10 a 2023-12-09.
#   NO presidio el bloque UCR del Senado. Naidenoff siguio siendo el jefe hasta diciembre de 2023:
#   letrap 06-12-2023 dice que Vischi lo sucede, 'Naidenoff, quien dejara una banca despues de 18 anios'.
#   Lo de Losada en dic-2021 fue la VICEPRESIDENCIA DEL SENADO, en reemplazo de Lousteau, y el
#   interbloque de JxC quedo para Cornejo (Infobae 08-12-2021). Dos cargos distintos.
#   CONSECUENCIA A REVISAR: la fila ALTA de PETCOFF NAIDENOFF cierra en 2021-12-09 y deberia
#   llegar a 2023-12-09. No se extendio sin Franco porque agrega cobertura, no la saca.
"VISCHI, EDUARDO ALEJANDRO",senado,UCR,2023-12-10,,2023-,ALTA,"web oficial Senado (snapshot 2026)","jefe del bloque UCR (10 bancas)",leg:4e01233d484a
# ---------- PRO / CAMBIEMOS
"PINEDO, FEDERICO",senado,PRO,2015-12-10,2019-12-09,2015-2019,MEDIA,"prensa 2016-2019","presidente provisional del Senado y referencia del PRO — VALIDAR si presidía el bloque",leg:f932f9618646
"BULLRICH, PATRICIA",senado,LA LIBERTAD AVANZA,2025-12-10,,2025-,ALTA,"web oficial Senado (snapshot 2026)","jefa del bloque LLA (21 bancas)",leg:9fe263c7921e
"ATAUCHE, EZEQUIEL",senado,LA LIBERTAD AVANZA,2023-12-10,2025-12-09,2023-2025,ALTA,El Tribuno de Jujuy 03-12-2023 'El jujeno Atauche presidira el bloque de La Libertad Avanza en el Senado'; elDiarioAR 'jefe de bloque de LLA',electo el 03-12-2023 con Abdala de vice; asume con el recambio del 10-dic,leg:e4bcae243e71
# ================= AMPLIACIÓN: bloques medianos (por volumen de votos 2008+) =================
# ---------- DIPUTADOS
"MASSA, SERGIO",diputados,UNIDOS POR UNA NUEVA ARGENTINA,2015-12-10,2017-12-09,2015-2017,MEDIA,La Nacion 2015; Chequeado 08-03-2018 atribuye la presidencia del bloque UNA 2015-2017 a CLAUDIA RUCCI (6 diputados),"🔴 DUDOSA: dos fuentes apuntan a que Massa era el referente del INTERBLOQUE y no el presidente del bloque (Rucci en UNA, Camano en Federal-UNA). Aporta 62 proyectos. Es la forma exacta del caso Bianchi — VALIDAR antes de confiar",leg:1b582ef65fed
"CAMAÑO, GRACIELA",diputados,UNIDOS POR UNA NUEVA ARGENTINA,2017-12-10,2019-12-09,2017-2019,MEDIA,"prensa 2018-2019","el bloque massista mantiene a Camaño en la conducción — VALIDAR",leg:2d8bae3dda77
"BOSSIO, DIEGO",diputados,JUSTICIALISTA,2016-02-03,2019-12-09,2016-2019,ALTA,"El Destape 03-02-2016; Infobae 04-02-2016; Perfil","comanda la ruptura del FpV con 12 diputados y crea el Bloque Justicialista",leg:0ddebbf74c7a
"SOLA, FELIPE",diputados,PERONISMO FEDERAL,2009-12-10,2011-12-09,2009-2011,ALTA,"La Nación; LaNoticia1 (jefe del bloque en 2010)","el peronismo disidente del Congreso de CFK",leg:f0d101488119
"STOLBIZER, MARGARITA",diputados,GEN,2009-12-10,2017-12-09,2009-2017,ALTA,Página/12 30-11-2009; Infobae 08-10-2009,funda el bloque GEN tras romper con Carrió,leg:b067aa2a9852
"BINNER, HERMES",diputados,PARTIDO SOCIALISTA,2013-12-10,2017-12-09,2013-2017,ALTA,"La Política Online (unifica bloques); Diario de Cuyo 2013","preside el bloque del Frente Amplio Progresista",leg:2e5fa5d9bd9c
"CICILIANI, ALICIA",diputados,PARTIDO SOCIALISTA,2017-12-10,2019-12-09,2017-2019,MEDIA,Chequeado 08-03-2018 ('Mujeres al frente de los bloques del Congreso'): Ciciliani asume la jefatura del bloque socialista en 2015,"JEFATURA CONFIRMADA, FECHA NO: la fuente la da desde 2015, no desde 2017-12. El desde de esta fila puede estar 2 anios corto — VALIDAR antes de extenderlo",leg:fc7bd61a18f1
"DEL CAÑO, NICOLAS",diputados,FRENTE DE IZQUIERDA,2014-12-10,,2014-,MEDIA,"composición del FIT en Diputados","el FIT ROTA la jefatura entre PTS y PO — REVISAR: puede requerir tramos más finos",leg:3cbd8362f5c6
# ---------- SENADO
"PICHETTO, MIGUEL ANGEL",senado,JUSTICIALISTA-FRENTE PARA LA VICTORIA,2009-12-10,2014-12-09,2009-2014,ALTA,"Ámbito; La Capital (mismo tramo que FpV-PJ)","etiqueta alternativa del MISMO bloque que presidía Pichetto (fuente semilla decada_votada)",leg:5daaefa4774c
"PICHETTO, MIGUEL ANGEL",senado,JUSTICIALISTA,2008-01-01,2017-12-09,2008-2017,MEDIA,"Ámbito; La Capital","variante de nombre del bloque peronista del Senado bajo Pichetto — VALIDAR el alcance de la etiqueta",leg:5daaefa4774c
"GOERLING LARA, ENRIQUE MARTIN",senado,FRENTE PRO,2023-12-10,,2023-,ALTA,"web oficial Senado (snapshot 2026)","jefe del Frente PRO en el Senado (3 bancas)",leg:09d195a72b1d
"ZAMORA, GERARDO",senado,FRENTE CIVICO POR SANTIAGO,2013-12-10,,2013-,MEDIA,"web oficial Senado (snapshot 2026); prensa","jefe histórico del bloque santiagueño — VALIDAR fecha de inicio",leg:81de01cf201a
# ================= AMPLIACIÓN 2: provinciales y federales =================
# ---------- DIPUTADOS
"COMELLI, ALICIA MARCELA",diputados,MOVIMIENTO POPULAR NEUQUINO,2008-01-01,2019-12-09,2008-2019,ALTA,"Chequeado (mujeres al frente de bloques); La Política Online","jefa del bloque MPN en Diputados; CONFIRMADA 30-07: preside el bloque MPN desde 2008 (3 legisladores)",leg:a97b406bf103
"GUTIERREZ, CARLOS",diputados,CORDOBA FEDERAL,2010-01-01,2025-12-09,2010-2025,ALTA,"Infobae 23-10-2023; Wikipedia Carlos Gutiérrez","preside el bloque cordobés (schiarettismo); en 2025 pasa a Provincias Unidas",leg:545130287582
"THOMAS, ENRIQUE LUIS",diputados,FRENTE PERONISTA,2011-12-10,2015-12-09,2011-2015,MEDIA,"composición del bloque (autor principal en la base)","peronismo disidente mendocino — VALIDAR jefatura formal",leg:ea0aa9cc788b
# ELIMINADA 2026-07-30 (investigación): "BIANCHI, IVANA MARIA" NO presidía Compromiso Federal.
# Era la diputada con MÁS proyectos de toda la Cámara en 2017 (240) = perfil "alto productor",
# que ya mide otra señal. Presidentes reales del bloque: Asseff y luego Sancassani (Agencia San Luis;
# Diario de Cuyo 18-12-2017). Aportaba 610 proyectos = 27% de la señal: habría duplicado alto_productor.
# ---------- SENADO
"RODRIGUEZ SAA, ADOLFO",senado,JUSTICIALISTA SAN LUIS,2005-12-10,2017-12-09,2005-2017,ALTA,"senado.gob.ar/senadores/senador/365 (ficha oficial)","preside el bloque Justicialista San Luis; desde 2010 también el Interbloque Federal",leg:e224f157fa1b
"ROMERO, JUAN CARLOS",senado,JUSTICIALISTA 8 DE OCTUBRE,2009-12-10,2025-12-09,2009-2025,ALTA,"senado.gob.ar/senadores/senador/35 (ficha oficial); Wikipedia","bloque propio salteño durante todo el período",leg:c2cf5a671498
"MAYANS, JOSE MIGUEL ANGEL",senado,FRENTE NACIONAL Y POPULAR,2022-04-01,2023-12-09,2022-2023,ALTA,"Diario Rio Negro 20-04-2022: al partirse el FdT, Mayans preside Frente Nacional y Popular (21 senadores)","confirmado con el numero de bancas; el otro bloque (Unidad Ciudadana, 14) lo preside Di Tullio, NO Fernandez Sagasti",leg:e6cf1ab5182b
# ELIMINADA el 2026-09-04 (URGENTE 5): FERNANDEZ SAGASTI, ANABEL / UNIDAD CIUDADANA / senado / 2022-04-01 a 2025-12-09.
#   El bloque Unidad Ciudadana (14 senadores), nacido de la division del FdT del 19/20-04-2022,
#   lo presidio JULIANA DI TULLIO, no Fernandez Sagasti (Diario Rio Negro, 20-04-2022, que da los
#   dos bloques con su presidente y su numero de bancas).
#   Es la misma forma de error que el caso Bianchi: una referente del espacio anotada como jefa.
#   PROPUESTA PARA FRANCO: reemplazarla por DI TULLIO, JULIANA con esa misma ventana.
